,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,telo_condition,whose_telo,scenario_1,scenario_2,question,question_mask,gpt3_response_scenario_1,gpt3_response_scenario_2
10,artifacts,a_1_bm_3,1,bed_to_microwave_app_original_comp_changed_purpose_preserved,bed_to_microwave,bed,microwave,original,bed,changed,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. Moreover, it wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. Moreover, it didn’t heat up food. Instead, it only provided a place to sleep.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"The thing after the special operation is a bed, not a microwave.","This is a difficult question to answer. If the only thing that the thing after the special operation can do is provide a place to sleep, then it is probably just a bed. However, if the thing after the special operation can also heat up food, then it is probably a microwave."
11,artifacts,a_1_bm_3,2,bed_to_microwave_app_original_comp_changed_purpose_preserved,bed_to_microwave,bed,microwave,original,bed,changed,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. Moreover, it wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. Moreover, it didn’t heat up food. Instead, it only provided a place to sleep.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special operation is not a bed or a microwave.,The thing after the special operation is a bed.
12,artifacts,a_1_bm_3,3,bed_to_microwave_app_original_comp_changed_purpose_preserved,bed_to_microwave,bed,microwave,original,bed,changed,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. Moreover, it wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. Moreover, it didn’t heat up food. Instead, it only provided a place to sleep.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"The thing after the special operation is not a bed, but a microwave.","The thing after the special operation is a bed, not a microwave."
13,artifacts,a_1_bm_3,4,bed_to_microwave_app_original_comp_changed_purpose_preserved,bed_to_microwave,bed,microwave,original,bed,changed,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. Moreover, it wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. Moreover, it didn’t heat up food. Instead, it only provided a place to sleep.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,It's a bed.,The thing after the special procedure is a bed.
14,artifacts,a_1_bm_3,5,bed_to_microwave_app_original_comp_changed_purpose_preserved,bed_to_microwave,bed,microwave,original,bed,changed,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. Moreover, it wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. Moreover, it didn’t heat up food. Instead, it only provided a place to sleep.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special procedure is not a bed. It is a microwave.,"The thing after the special operation is a bed, not a microwave."
15,artifacts,a_1_bm_4,1,bed_to_microwave_app_original_comp_changed_purpose_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. Moreover, it wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. Moreover, it didn’t provide a place to sleep. Instead, it only heated up food. ",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special procedure is a microwave.,It is a microwave.
16,artifacts,a_1_bm_4,2,bed_to_microwave_app_original_comp_changed_purpose_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. Moreover, it wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. Moreover, it didn’t provide a place to sleep. Instead, it only heated up food. ",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special procedure is a microwave.,The thing after the special operation is a microwave.
17,artifacts,a_1_bm_4,3,bed_to_microwave_app_original_comp_changed_purpose_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. Moreover, it wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. Moreover, it didn’t provide a place to sleep. Instead, it only heated up food. ",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special procedure is a microwave.,The thing after the special operation is a microwave.
18,artifacts,a_1_bm_4,4,bed_to_microwave_app_original_comp_changed_purpose_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. Moreover, it wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. Moreover, it didn’t provide a place to sleep. Instead, it only heated up food. ",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,A microwave.,The thing after the special operation is a microwave.
19,artifacts,a_1_bm_4,5,bed_to_microwave_app_original_comp_changed_purpose_changed,bed_to_microwave,bed,microwave,original,bed,changed,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. Moreover, it wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. Moreover, it didn’t provide a place to sleep. Instead, it only heated up food. ",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special operation is a microwave.,A microwave.
20,artifacts,a_1_bm_5,1,bed_to_microwave_app_new_comp_preserved_purpose_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t heat up food. Instead, it only provided a place to sleep. ",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special operation is not a microwave.,"After the special operation, the thing is a bed."
21,artifacts,a_1_bm_5,2,bed_to_microwave_app_new_comp_preserved_purpose_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t heat up food. Instead, it only provided a place to sleep. ",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"The thing after the special operation is most likely a bed, as it isn't able to heat up food like a microwave would.","The thing after the special operation is a bed, not a microwave."
22,artifacts,a_1_bm_5,3,bed_to_microwave_app_new_comp_preserved_purpose_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t heat up food. Instead, it only provided a place to sleep. ",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"The thing after the special operation is a bed, not a microwave.",It is a bed.
23,artifacts,a_1_bm_5,4,bed_to_microwave_app_new_comp_preserved_purpose_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t heat up food. Instead, it only provided a place to sleep. ",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"The thing after the special procedure is a bed, not a microwave.",The thing after the special operation is a bed.
24,artifacts,a_1_bm_5,5,bed_to_microwave_app_new_comp_preserved_purpose_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t heat up food. Instead, it only provided a place to sleep. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t heat up food. Instead, it only provided a place to sleep. ",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"The thing after the special procedure is a bed, not a microwave.","The thing after thespecial operation is a bed, not a microwave."
25,artifacts,a_1_bm_6,1,bed_to_microwave_app_new_comp_preserved_purpose_changed,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t provide a place to sleep. Instead, it only heated up food.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special operation is a microwave.,The thing after the special operation is a microwave.
26,artifacts,a_1_bm_6,2,bed_to_microwave_app_new_comp_preserved_purpose_changed,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t provide a place to sleep. Instead, it only heated up food.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"The thing after the special operation is not a bed, but a microwave.",The thing after the special operation is a microwave.
27,artifacts,a_1_bm_6,3,bed_to_microwave_app_new_comp_preserved_purpose_changed,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t provide a place to sleep. Instead, it only heated up food.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"The answer is that after the special operation, the thing is a microwave, not a bed.",The thing after the special operation is a microwave.
28,artifacts,a_1_bm_6,4,bed_to_microwave_app_new_comp_preserved_purpose_changed,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t provide a place to sleep. Instead, it only heated up food.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The answer is that the thing after the special operation is a microwave.,A microwave.
29,artifacts,a_1_bm_6,5,bed_to_microwave_app_new_comp_preserved_purpose_changed,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure didn’t provide a place to sleep. Instead, it only heated up food. Moreover, it wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. Moreover, it didn’t provide a place to sleep. Instead, it only heated up food.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special procedure is a microwave.,The thing after the special operation is a microwave.
