,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,scenario_1,scenario_2,question,question_mask,bloom_response_scenario_1,bloom_response_scenario_1_retrieved,bloom_response_scenario_2,bloom_response_scenario_2_retrieved
98,artifacts,a_1_bm_3,1,bed_to_microwave_app_new_comp_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. Because if it,microwave,"a microwave, because the microwave",microwave
98,artifacts,a_1_bm_3,2,bed_to_microwave_app_new_comp_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave because the microwave is,microwave,microwave because the thing is made,microwave
98,artifacts,a_1_bm_3,3,bed_to_microwave_app_new_comp_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"a microwave.

A:

I",microwave,"microwave, because it looks like",microwave
98,artifacts,a_1_bm_3,4,bed_to_microwave_app_new_comp_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,both a bed and a microwave,unsure,a microwave because the thing after,microwave
98,artifacts,a_1_bm_3,5,bed_to_microwave_app_new_comp_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,a microwave. The reason is,microwave,"microwave, because they are using",microwave
99,artifacts,a_1_bm_4,1,bed_to_microwave_app_new_comp_changed,bed_to_microwave,bed,microwave,new,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"a microwave.

A:

The",microwave,"a microwave, because it looks",microwave
99,artifacts,a_1_bm_4,2,bed_to_microwave_app_new_comp_changed,bed_to_microwave,bed,microwave,new,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,both a bed and a microwave,unsure,a microwave because the special procedure,microwave
99,artifacts,a_1_bm_4,3,bed_to_microwave_app_new_comp_changed,bed_to_microwave,bed,microwave,new,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"a microwave, because the scientists",microwave,a microwave. In the question,microwave
99,artifacts,a_1_bm_4,4,bed_to_microwave_app_new_comp_changed,bed_to_microwave,bed,microwave,new,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"a microwave, because it looks",microwave,a microwave. Because I think,microwave
99,artifacts,a_1_bm_4,5,bed_to_microwave_app_new_comp_changed,bed_to_microwave,bed,microwave,new,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,"a microwave, because the operation",microwave,"a microwave.

A:

It",microwave
100,artifacts,a_2_bl_1,1,bed_to_lotion_app_original_comp_preserved,bed_to_lotion,bed,lotion,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,"a bed, not lotion",bed,a bed. This is because,bed
100,artifacts,a_2_bl_1,2,bed_to_lotion_app_original_comp_preserved,bed_to_lotion,bed,lotion,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a bed. It was made,bed,a bed. Because the special,bed
100,artifacts,a_2_bl_1,3,bed_to_lotion_app_original_comp_preserved,bed_to_lotion,bed,lotion,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a bed. Because I think,bed,a bed. The reason is,bed
100,artifacts,a_2_bl_1,4,bed_to_lotion_app_original_comp_preserved,bed_to_lotion,bed,lotion,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,"not a bed, because it",unsure,lotion because after the special,lotion
100,artifacts,a_2_bl_1,5,bed_to_lotion_app_original_comp_preserved,bed_to_lotion,bed,lotion,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a bed. If they used,bed,a bed. Because the thing,bed
101,artifacts,a_2_bl_2,1,bed_to_lotion_app_original_comp_changed,bed_to_lotion,bed,lotion,original,bed,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,"a bed. Because, if",bed,lotion. Because the word,lotion
101,artifacts,a_2_bl_2,2,bed_to_lotion_app_original_comp_changed,bed_to_lotion,bed,lotion,original,bed,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a lotion because it is,lotion,lotion because it has all,lotion
101,artifacts,a_2_bl_2,3,bed_to_lotion_app_original_comp_changed,bed_to_lotion,bed,lotion,original,bed,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a bed. I think the,bed,both a bed and lotion,unsure
101,artifacts,a_2_bl_2,4,bed_to_lotion_app_original_comp_changed,bed_to_lotion,bed,lotion,original,bed,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a bed. It is because,bed,"a bed, not a lot",bed
101,artifacts,a_2_bl_2,5,bed_to_lotion_app_original_comp_changed,bed_to_lotion,bed,lotion,original,bed,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a bed. Because after the,bed,a lotion because after the,lotion
102,artifacts,a_2_bl_3,1,bed_to_lotion_app_new_comp_preserved,bed_to_lotion,bed,lotion,new,lotion,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,a bed because a bed is,bed,"a bed, because it is",bed
102,artifacts,a_2_bl_3,2,bed_to_lotion_app_new_comp_preserved,bed_to_lotion,bed,lotion,new,lotion,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,"a bed. Because, in",bed,a bed. Because the thing,bed
102,artifacts,a_2_bl_3,3,bed_to_lotion_app_new_comp_preserved,bed_to_lotion,bed,lotion,new,lotion,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,lotion. Because the test,lotion,a bed. The special operation,bed
102,artifacts,a_2_bl_3,4,bed_to_lotion_app_new_comp_preserved,bed_to_lotion,bed,lotion,new,lotion,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,"a bed, because the scientists",bed,"a bed, because the thing",bed
102,artifacts,a_2_bl_3,5,bed_to_lotion_app_new_comp_preserved,bed_to_lotion,bed,lotion,new,lotion,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,"a bed.
We know that",bed,"lotion, because it has",lotion
103,artifacts,a_2_bl_4,1,bed_to_lotion_app_new_comp_changed,bed_to_lotion,bed,lotion,new,lotion,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,"a bed, because it is",bed,"a bed, because I think",bed
