,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,telo_condition,whose_telo,scenario_1,scenario_2,question,question_mask,bloom_response_scenario_1,bloom_response_scenario_1_retrieved,bloom_response_scenario_2,bloom_response_scenario_2_retrieved
2,non_living_natural_kinds,nl_1_lc_3,1,lightning_to_cloud_app_new_telo_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning. Because after the operation,lightning,lightning. Lightning is a natural,lightning
2,non_living_natural_kinds,nl_1_lc_3,2,lightning_to_cloud_app_new_telo_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,lightning. Since the thing is,lightning,"a cloud, because the thing",cloud
2,non_living_natural_kinds,nl_1_lc_3,3,lightning_to_cloud_app_new_telo_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud because lightning is a,cloud,lightning. Although the thing looks,lightning
2,non_living_natural_kinds,nl_1_lc_3,4,lightning_to_cloud_app_new_telo_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. Because a cloud,cloud,lightning. The thing after the,lightning
2,non_living_natural_kinds,nl_1_lc_3,5,lightning_to_cloud_app_new_telo_preserved,lightning_to_cloud,lightning,cloud,new,cloud,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t produce precipitation. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,cloud. Because it looks like,cloud,lightning because it is not a,lightning
3,non_living_natural_kinds,nl_1_lc_4,1,lightning_to_cloud_app_new_telo_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,"lightning, but not a cloud",lightning,cloud because the thing after the,cloud
3,non_living_natural_kinds,nl_1_lc_4,2,lightning_to_cloud_app_new_telo_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud because a cloud is,cloud,"a cloud, because  the",cloud
3,non_living_natural_kinds,nl_1_lc_4,3,lightning_to_cloud_app_new_telo_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. Since it only,cloud,lightning. Lightning is a phenomenon,lightning
3,non_living_natural_kinds,nl_1_lc_4,4,lightning_to_cloud_app_new_telo_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud because it only produced,cloud,"lightning.

A:

The thing",lightning
3,non_living_natural_kinds,nl_1_lc_4,5,lightning_to_cloud_app_new_telo_changed,lightning_to_cloud,lightning,cloud,new,cloud,changed,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a cloud. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only produced precipitation. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation lightning or a cloud?,The thing after the special operation is,a cloud. It looks like,cloud,lightning because lightning is the electrical,lightning
4,non_living_natural_kinds,nl_2_lsun_1,1,lightning_to_sun_app_original_telo_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,"lightning, because it provided a",lightning,"lightning, because the thing only",lightning
4,non_living_natural_kinds,nl_2_lsun_1,2,lightning_to_sun_app_original_telo_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. Because the thing,sun,lightning. Because the thing can,lightning
4,non_living_natural_kinds,nl_2_lsun_1,3,lightning_to_sun_app_original_telo_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,lightning. Lightning is a natural,lightning,a sun. The reason is,sun
4,non_living_natural_kinds,nl_2_lsun_1,4,lightning_to_sun_app_original_telo_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,闪电。 Because the thing after,unsure,"太陽 (Taiyo), not",unsure
4,non_living_natural_kinds,nl_2_lsun_1,5,lightning_to_sun_app_original_telo_preserved,lightning_to_sun,lightning,sun,original,lightning,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,"lightning. Because, it can",lightning,lightning because lightning is a natural,lightning
5,non_living_natural_kinds,nl_2_lsun_2,1,lightning_to_sun_app_original_telo_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun because the operation only,sun,lightning because the scientists were not,lightning
5,non_living_natural_kinds,nl_2_lsun_2,2,lightning_to_sun_app_original_telo_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. The thing after,sun,a sun because it only provided,sun
5,non_living_natural_kinds,nl_2_lsun_2,3,lightning_to_sun_app_original_telo_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,"a sun, not lightning.",sun,lightning because it only provides light,lightning
5,non_living_natural_kinds,nl_2_lsun_2,4,lightning_to_sun_app_original_telo_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,lightning because it can be used,lightning,"闪电, because after the special",unsure
5,non_living_natural_kinds,nl_2_lsun_2,5,lightning_to_sun_app_original_telo_changed,lightning_to_sun,lightning,sun,original,lightning,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat. After the special procedure, the thing looked like lightning.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,not lightning but a sun.,sun,"太陽 (taiyou),",unsure
6,non_living_natural_kinds,nl_2_lsun_3,1,lightning_to_sun_app_new_telo_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. I think they,sun,"a sun, because the thing",sun
6,non_living_natural_kinds,nl_2_lsun_3,2,lightning_to_sun_app_new_telo_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun because the thing after,sun,lightning. Because I think the,lightning
6,non_living_natural_kinds,nl_2_lsun_3,3,lightning_to_sun_app_new_telo_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun because it looks like,sun,lightning because it is still an,lightning
6,non_living_natural_kinds,nl_2_lsun_3,4,lightning_to_sun_app_new_telo_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,"lightning, because the thing after",lightning,a sun because the thing after,sun
6,non_living_natural_kinds,nl_2_lsun_3,5,lightning_to_sun_app_new_telo_preserved,lightning_to_sun,lightning,sun,new,sun,preserved,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide light and heat. Instead, it only provided a quick and easy way to create an electrical circuit. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. Because after the,sun,a sun. Because the thing,sun
7,non_living_natural_kinds,nl_2_lsun_4,1,lightning_to_sun_app_new_telo_changed,lightning_to_sun,lightning,sun,new,sun,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. Because lightning is,sun,a sun. The sun em,sun
7,non_living_natural_kinds,nl_2_lsun_4,2,lightning_to_sun_app_new_telo_changed,lightning_to_sun,lightning,sun,new,sun,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,a sun. Because it provides,sun,a sun. Because the thing,sun
7,non_living_natural_kinds,nl_2_lsun_4,3,lightning_to_sun_app_new_telo_changed,lightning_to_sun,lightning,sun,new,sun,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into a sun. After running some tests, they found that the thing after the special procedure didn’t provide a quick and easy way to create an electrical circuit. Instead, it only provided light and heat. After the special procedure, the thing looked like a sun.",Is the thing after the special operation lightning or a sun?,The thing after the special operation is,"a sun, because it only",sun,a sun. The reason is,sun
