category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,scenario_1,scenario_2,question,question_mask,gpt3_response_scenario_1,gpt3_response_scenario_1_retrieved,gpt3_response_scenario_2,gpt3_response_scenario_2_retrieved
artifacts,a_1_bm_3,5,bed_to_microwave_app_new_comp_preserved,bed_to_microwave,bed,microwave,new,microwave,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of metal, plastic, glass, and ceramic components. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing is neither a bed nor a microwave. It is an inanimate object that has been manipulated by very talented and skilled scientists.,unsure,The answer is that the thing after the special operation is a microwave.,microwave
artifacts,a_1_bm_4,1,bed_to_microwave_app_new_comp_changed,bed_to_microwave,bed,microwave,new,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special procedure cannot be classified as either a bed or a microwave because it is not made of the traditional materials that beds and microwaves are typically made of.,unsure,The thing after the special operation is a microwave.,microwave
artifacts,a_1_bm_4,2,bed_to_microwave_app_new_comp_changed,bed_to_microwave,bed,microwave,new,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special operation is a microwave.,microwave,The thing after the special operation is a microwave.,microwave
artifacts,a_1_bm_4,3,bed_to_microwave_app_new_comp_changed,bed_to_microwave,bed,microwave,new,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The answer is that it is both a bed and a microwave. The difference is that the bed has been treated with a special procedure that makes it look like a microwave.,unsure,A microwave.,microwave
artifacts,a_1_bm_4,4,bed_to_microwave_app_new_comp_changed,bed_to_microwave,bed,microwave,new,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special operation is a microwave.,microwave,The answer is that the thing after the special operation is a microwave.,microwave
artifacts,a_1_bm_4,5,bed_to_microwave_app_new_comp_changed,bed_to_microwave,bed,microwave,new,microwave,changed,microwave,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After the special procedure, the thing looked like a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into a microwave. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of metal, plastic, glass, and ceramic components. After the special procedure, the thing looked like a microwave.",Is the thing after the special operation a bed or a microwave?,The thing after the special operation is,The thing after the special procedure is a microwave.,microwave,It’s a microwave.,microwave
artifacts,a_2_bl_1,1,bed_to_lotion_app_original_comp_preserved,bed_to_lotion,bed,lotion,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,The thing after the special operation is not a bed or lotion.,unsure,The thing after the special operation is a bed.,bed
artifacts,a_2_bl_1,2,bed_to_lotion_app_original_comp_preserved,bed_to_lotion,bed,lotion,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,The thing after the special operation is not a bed or lotion.,unsure,The thing after the special operation is a bed.,bed
artifacts,a_2_bl_1,3,bed_to_lotion_app_original_comp_preserved,bed_to_lotion,bed,lotion,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,"The thing is not lotion, it is a bed.",bed,The thing after the special operation is a bed.,bed
artifacts,a_2_bl_1,4,bed_to_lotion_app_original_comp_preserved,bed_to_lotion,bed,lotion,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,The thing after the special operation is most likely a bed.,bed,The thing after the special operation is a bed.,bed
artifacts,a_2_bl_1,5,bed_to_lotion_app_original_comp_preserved,bed_to_lotion,bed,lotion,original,bed,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,The thing after the special procedure is not a bed or lotion.,unsure,The thing after the special operation is a bed.,bed
artifacts,a_2_bl_2,1,bed_to_lotion_app_original_comp_changed,bed_to_lotion,bed,lotion,original,bed,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,The thing after the special operation is lotion.,lotion,The thing after the special procedure is a lotion.,lotion
artifacts,a_2_bl_2,2,bed_to_lotion_app_original_comp_changed,bed_to_lotion,bed,lotion,original,bed,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,The thing after the special operation is lotion.,lotion,"It is difficult to determine what the thing is after the special operation. If the thing looks like a bed, then it is probably a bed. However, if the thing looks like lotion, then it is probably lotion.",unsure
artifacts,a_2_bl_2,3,bed_to_lotion_app_original_comp_changed,bed_to_lotion,bed,lotion,original,bed,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,It is lotion.,lotion,"The answer is both. The thing after the special operation is a bed because it is made of water, oil, emulsifiers and skin-protecting ingredients. The thing is also lotion because it can be applied to the skin and",unsure
artifacts,a_2_bl_2,4,bed_to_lotion_app_original_comp_changed,bed_to_lotion,bed,lotion,original,bed,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,The thing after the special operation is lotion.,lotion,"The answer is that it is both. The bed has been turned into lotion, but it still retains the shape and form of a bed.",unsure
artifacts,a_2_bl_2,5,bed_to_lotion_app_original_comp_changed,bed_to_lotion,bed,lotion,original,bed,changed,lotion,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like a bed. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of wood, metal, or upholstered fabric. Instead, it was only made of water, oil, emulsifiers and skin-protecting ingredients. After the special procedure, the thing looked like a bed.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,Lotion,lotion,The thing after the special procedure is a lotion.,lotion
artifacts,a_2_bl_3,1,bed_to_lotion_app_new_comp_preserved,bed_to_lotion,bed,lotion,new,lotion,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,"The thing is not lotion, because it is not made of the proper ingredients.",unsure,The thing after the special operation is lotion.,lotion
artifacts,a_2_bl_3,2,bed_to_lotion_app_new_comp_preserved,bed_to_lotion,bed,lotion,new,lotion,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,The thing after the special operation is not a bed or lotion.,unsure,The thing after the special procedure is lotion.,lotion
artifacts,a_2_bl_3,3,bed_to_lotion_app_new_comp_preserved,bed_to_lotion,bed,lotion,new,lotion,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,The thing after the special operation cannot be lotion because it is not made of the correct ingredients. It is either a bed or something else entirely.,unsure,The thing after the special operation is not a bed or lotion.,unsure
artifacts,a_2_bl_3,4,bed_to_lotion_app_new_comp_preserved,bed_to_lotion,bed,lotion,new,lotion,preserved,bed,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After the special procedure, the thing looked like lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a bed into lotion. After running some tests, they found that the thing after the special procedure wasn’t made of water, oil, emulsifiers and skin-protecting ingredients. Instead, it was only made of wood, metal, or upholstered fabric. After the special procedure, the thing looked like lotion.",Is the thing after the special operation a bed or lotion?,The thing after the special operation is,"The thing after the special operation would be classified as a bed, not lotion.",bed,The thing after the special procedure is not a bed or lotion.,unsure
