Unnamed: 0,paper,study ,rep_id,type,type_category,stat_test_original,stat_test_new,is_natural_kind,condition,scenario_1,question_1_1_type,question_1_1_text,question_1_1_mask,question_1_2_type,question_1_2_text,question_1_2_mask,question_1_3_type,question_1_3_text,question_1_3_mask,question_1_4_type,question_1_4_text,question_1_4_mask,question_1_5_type,question_1_5_text,question_1_5_mask,question_1_6_type,question_1_6_text,question_1_6_mask,scenario_2,question_2_1_type,question_2_1_text,Unnamed: 30,hypotheses,gpt3_response_question_1_1,gpt3_response_question_1_2,categorization_rating
15,rose_nichols_2020,1,16,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates.",clock
16,rose_nichols_2020,1,17,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation is a clock and no longer retains the true purpose of a hotplate.",clock
17,rose_nichols_2020,1,18,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation is a clock and no longer a hotplate.",clock
18,rose_nichols_2020,1,19,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates.",clock
19,rose_nichols_2020,1,20,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates.",clock
20,rose_nichols_2020,1,21,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,It is a clock.,"No, the thing after the special operation is only a clock. It no longer retains the ability to heat up.",clock
21,rose_nichols_2020,1,22,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,It is a clock.,"No, the thing after the special operation only tells time.",clock
22,rose_nichols_2020,1,23,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates.",clock
23,rose_nichols_2020,1,24,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,clock,"No, the thing after the special operation is a clock and no longer a hotplate.",clock
24,rose_nichols_2020,1,25,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,Clock,"No, the thing after the special operation is now a clock and does not have the ability to heat up.",clock
25,rose_nichols_2020,1,26,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates. hotplates are typically used for cooking or heating, but the thing after the special operation can only tell time.",clock
26,rose_nichols_2020,1,27,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates. Instead, it only tells time.",clock
27,rose_nichols_2020,1,28,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates.",clock
28,rose_nichols_2020,1,29,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,It is a clock.,"No, the thing after the special operation is only a clock.",clock
29,rose_nichols_2020,1,30,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates.",clock
30,rose_nichols_2020,1,31,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,It is a clock.,"No, the thing after the special operation is a clock and does not retain the true purpose of hotplates.",clock
31,rose_nichols_2020,1,32,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,The thing after the special operation does not retain the true purpose of hotplates.,clock
32,rose_nichols_2020,1,33,transformation,superficial,"2*(telos: preserved, changed) x 3*(kind: hotplate, vulture, magnetite) ANOVA ",glm(response ~ telos*kind),False,hotplate_telo_changed,"Some very talented and skilled scientists, Suzy and Andy, decide that they are going to perform a special procedure on a hotplate. They decide to remove its square base, paint the top white, add numbers and hour, minute and second hands. After the special procedure, the thing looked like a clock. After running some tests, they found that the thing after the special procedure didn’t heat up. Instead, it only told time.",categorization,Is the thing after the special operation a hotplate or clock?,"After the special operation, the thing is a",purpose,Does the thing after the special operation retain the true purpose of hotplates?,The thing after the special operation has the true purpose of,,,,,,,,,,,,,,,,,There will be a difference between purpose changed and purpose preserved on category ratings with higher clock ratings on purpose changed.,The thing after the special operation is a clock.,"No, the thing after the special operation does not retain the true purpose of hotplates.",clock
